date,route,attempted,succeeded
4/01/2010,Disappointment Cleaver,9,7
4/02/2010,Gibralter Ledges,3,0
6/02/2010,Gibralter Ledges,5,0
7/02/2010,Gibralter Ledges,2,0
7/02/2010,Gibralter Ledges,3,0
8/02/2010,Wilson Headwall,2,2
12/02/2010,Gibralter Ledges,2,0
12/02/2010,Gibralter Ledges,4,0
02/13/2010,glacier only - no summit attempt,2,0
02/14/2010,Gibralter Ledges,12,0
02/18/2010,Gibralter Ledges,3,0
02/18/2010,Gibralter Ledges,2,0
02/18/2010,Gibralter Ledges,4,3
02/19/2010,Gibralter Ledges,2,0
02/19/2010,Gibralter Ledges,3,2
02/19/2010,Gibralter Ledges,2,2
02/19/2010,Nisqually Ice Cliff,2,0
02/19/2010,Fuhrer's Finger,3,0
02/19/2010,Gibralter Ledges,2,0
02/20/2010,Tahoma Glacier,2,0
02/20/2010,Gibralter Ledges,4,0
02/20/2010,Gibralter Ledges,2,0
02/20/2010,Gibralter Ledges,2,0
02/20/2010,Nisqually Cleaver,1,1
02/20/2010,Disappointment Cleaver,2,0
02/20/2010,Gibralter Ledges,3,0
02/21/2010,Gibralter Ledges,1,1
4/03/2010,Gibralter Ledges,3,0
4/03/2010,Gibralter Ledges,1,0
5/03/2010,Fuhrer's Finger,2,0
5/03/2010,Gibralter Ledges,4,0
5/03/2010,Kautz Glacier,2,0
6/03/2010,Gibralter Ledges,4,0
6/03/2010,Fuhrer's Finger,2,0
03/13/2010,Disappointment Cleaver,8,0
03/15/2010,Disappointment Cleaver,9,0
03/15/2010,Gibralter Ledges,2,0
03/15/2010,Disappointment Cleaver,8,0
03/15/2010,Disappointment Cleaver,8,0
03/17/2010,Disappointment Cleaver,3,0
03/17/2010,Gibralter Ledges,2,0
03/17/2010,Kautz Glacier,2,0
03/18/2010,Gibralter Ledges,2,0
03/18/2010,Little Tahoma,2,0
03/18/2010,Gibralter Ledges,2,0
03/19/2010,Kautz Headwall,2,0
03/20/2010,Gibralter Ledges,1,0
03/26/2010,Ingraham Direct,1,0
03/26/2010,Disappointment Cleaver,3,0
03/26/2010,Ingraham Direct,2,0
03/27/2010,Disappointment Cleaver,9,0
03/27/2010,Disappointment Cleaver,3,0
10/04/2010,glacier only - no summit attempt,12,0
10/04/2010,Little Tahoma,3,0
11/04/2010,Disappointment Cleaver,2,2
12/04/2010,Disappointment Cleaver,8,0
12/04/2010,Disappointment Cleaver,8,0
04/13/2010,Gibralter Ledges,2,0
04/14/2010,Disappointment Cleaver,2,0
04/15/2010,Disappointment Cleaver,2,0
04/16/2010,Ingraham Direct,2,0
04/16/2010,Gibralter Ledges,2,0
04/18/2010,Fuhrer's Finger,1,0
04/19/2010,Ingraham Direct,4,0
04/22/2010,Gibralter Ledges,4,0
04/23/2010,Kautz Glacier,2,0
04/23/2010,Ingraham Direct,2,0
04/23/2010,Gibralter Ledges,3,0
