order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI06457,2018-01-08,08:10:08,Breakfast,NS,"[('Cereal', 4), ('Coffee', 7), ('Eggs', 10)]",356.5,-37.8165761,144.98014730000003,1,8.432,6.1431094803194854
ORDC04319,2018-02-03,09:00:50,Breakfast,NS,"[('Pancake', 6), ('Cereal', 6)]",271.5,-37.8089847,145.0088674,0,10.369000000000002,17.355852579072756
ORDC04008,2018-09-20,16:37:10,Dinner,NS,"[('Fish&Chips', 4), ('Shrimp', 9), ('Salmon', 3)]",749.0,-37.8143577,144.9548499,0,8.513,14.532202057607034
ORDC05230,2018-08-05,15:05:54,Lunch,NS,"[('Burger', 10), ('Steak', 3), ('Chicken', 10), ('Salad', 7)]",885.4,-37.812248600000004,144.9884905,0,8.684,16.165895207936813
ORDC05859,2018-11-11,18:28:43,Dinner,NS,"[('Pasta', 8), ('Fish&Chips', 8)]",500.0,-37.8180912,144.94687869999998,0,9.505,17.495768086537588
ORDC01994,2018-01-01,08:00:00,Breakfast,NS,"[('Cereal', 9), ('Eggs', 6), ('Pancake', 10)]",563.5,-37.807921,144.9577424,1,7.886,5.594096185684111
ORDC08090,2018-11-02,18:08:27,Dinner,NS,"[('Fish&Chips', 1), ('Salmon', 9)]",404.0,-37.818595,144.969551,0,8.482000000000001,14.501030973113085
ORDI00834,2018-10-06,17:07:36,Dinner,NS,"[('Shrimp', 5), ('Salmon', 2)]",352.0,-37.8233739,144.97874380000002,0,8.925,16.912567150844335
ORDI02502,2018-03-24,10:42:15,Breakfast,NS,"[('Pancake', 8), ('Coffee', 10)]",269.0,-37.8188221,144.9821646,0,8.869,15.847574297107444
ORDC05596,2018-01-01,08:00:00,Breakfast,NS,"[('Eggs', 10), ('Pancake', 3)]",292.75,-37.8076959,144.95576430000003,1,8.062999999999999,5.772073022956017
ORDC09916,2018-09-07,16:16:54,Dinner,NS,"[('Shrimp', 4), ('Fish&Chips', 6)]",426.0,-37.8204562,144.97687380000002,0,8.883,14.904244033825142
ORDC02582,2018-01-13,08:20:16,Breakfast,NS,"[('Coffee', 10), ('Eggs', 6), ('Pancake', 6), ('Cereal', 6)]",478.5,-37.8075659,144.95792509999998,1,7.832000000000001,7.505889492657523
ORDI05513,2018-04-03,11:02:32,Breakfast,NS,"[('Pancake', 4), ('Cereal', 5)]",202.0,-37.809515399999995,144.983081,0,8.102,13.110250010471688
ORDZ00497,2018-10-28,17:58:18,Dinner,NS,"[('Shrimp', 7), ('Salmon', 8), ('Fish&Chips', 1)]",741.0,-37.8069861,144.9758975,0,7.181,15.158942268346001
ORDI09593,2018-06-05,13:04:13,Lunch,NS,"[('Chicken', 6), ('Steak', 6)]",462.0,-37.8232592,145.0052851,0,10.946,16.47428753201634
ORDC01810,2018-11-23,18:49:00,Dinner,NS,"[('Fish&Chips', 5), ('Pasta', 3), ('Salmon', 7), ('Shrimp', 1)]",598.5,-37.8173725,144.9288324,0,10.642000000000001,16.672951699143134
ORDC07753,2018-08-26,15:46:28,Lunch,NS,"[('Steak', 3), ('Salad', 4)]",203.8,-37.8139192,144.9379022,0,10.112,17.60177613236779
ORDI04843,2018-11-13,18:28:43,Dinner,NS,"[('Pasta', 6), ('Salmon', 1), ('Shrimp', 7)]",584.0,-37.8051076,144.97744609999998,0,7.352,13.3466267
ORDI05481,2018-05-14,12:23:39,Lunch,NS,"[('Fries', 9), ('Salad', 4), ('Chicken', 4), ('Burger', 9), ('Steak', 5)]",808.8,-37.805829700000004,144.95608159999998,0,7.934,13.206729300000001
