order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDX05006,2018-07-29,14:55:46,Lunch,BK,"[('Burger', 2), ('Salad', 6), ('Steak', 4), ('Fries', 10), ('Chicken', 1)]",497.2,-37.8179198,144.94617380000003,0,9.458,17.4592204
ORDB10080,2018-08-31,15:56:37,Lunch,TP,"[('Chicken', 9), ('Steak', 7), ('Salad', 9), ('Fries', 6)]",829.8,-37.805279999999996,144.95802680000003,0,9.167,12.6922655
ORDY04458,2018-10-03,17:07:36,Dinner,TP,"[('Pasta', 8), ('Fish&Chips', 1)]",255.0,-37.8086596,144.956616,0,9.059,13.381728299999999
ORDC05587,2018-03-15,10:21:58,Breakfast,NS,"[('Cereal', 2), ('Pancake', 1), ('Eggs', 4), ('Coffee', 7)]",206.75,-37.8211305,144.98338230000002,0,9.249,13.744443400000002
ORDI03816,2018-05-22,12:33:48,Lunch,NS,"[('Chicken', 1), ('Salad', 3), ('Burger', 3), ('Steak', 3)]",311.6,-37.805102500000004,144.94922219999998,0,8.492,14.554312900000001
ORDX08346,2018-09-06,16:06:45,Dinner,BK,"[('Shrimp', 8), ('Pasta', 7), ('Fish&Chips', 8), ('Salmon', 7)]",1191.5,-37.7998732,144.95414219999998,0,8.668,15.692997199999997
ORDC03704,2018-03-30,10:52:23,Breakfast,NS,"[('Cereal', 4), ('Coffee', 6), ('Eggs', 8)]",305.0,-37.801559999999995,144.9573359,0,7.468999999999999,12.4863398
ORDC04728,2018-02-23,09:41:24,Breakfast,NS,"[('Eggs', 3), ('Pancake', 8), ('Coffee', 5)]",297.5,-37.8066242,144.9323335,0,10.192,15.3748029
ORDJ02830,2018-06-05,13:04:13,Lunch,TP,"[('Salad', 1), ('Fries', 2), ('Burger', 10), ('Steak', 6)]",621.2,-37.811480700000004,144.92788080000003,0,11.932,14.772064499999999
ORDA07210,2018-02-08,09:10:59,Breakfast,BK,"[('Pancake', 10), ('Cereal', 7), ('Coffee', 8), ('Eggs', 10)]",669.5,-37.8173459,144.9658029,0,7.609,12.2391514
ORDB06155,2018-06-13,13:24:30,Lunch,TP,"[('Burger', 8), ('Salad', 6), ('Steak', 8), ('Chicken', 5), ('Fries', 5)]",931.2,-37.8124129,144.95175930000002,0,9.181000000000001,12.4641805
ORDK00027,2018-11-12,18:28:43,Dinner,BK,"[('Shrimp', 5), ('Fish&Chips', 4)]",410.0,-37.813725,144.9574279,0,8.127,14.773399800000002
ORDI00480,2018-02-10,09:21:07,Breakfast,NS,"[('Cereal', 8), ('Pancake', 6), ('Coffee', 5)]",351.0,-37.808831299999994,144.9664485,0,7.169,14.0199538
ORDA03358,2018-11-14,18:28:43,Dinner,BK,"[('Pasta', 5), ('Fish&Chips', 6)]",347.5,-37.8065136,144.9440952,0,9.244,16.003275400000003
ORDZ06814,2018-02-21,09:41:24,Breakfast,NS,"[('Pancake', 9), ('Cereal', 2), ('Coffee', 1)]",267.75,-37.8031395,144.9956372,0,8.523,13.686438199999998
ORDA09230,2018-06-04,13:04:13,Lunch,BK,"[('Chicken', 1), ('Salad', 2), ('Burger', 1)]",97.4,-37.8038025,145.00569819999998,0,5.397,11.0051957
ORDZ01954,2018-07-19,14:35:29,Lunch,NS,"[('Fries', 5), ('Chicken', 4), ('Steak', 3)]",323.0,-37.8129308,145.0156514,0,11.270999999999999,16.9295395
ORDY01010,2018-07-27,14:45:38,Lunch,TP,"[('Salad', 3), ('Chicken', 8), ('Steak', 4), ('Burger', 7)]",704.6,-37.8256656,144.9800894,0,9.049,13.0029974
ORDZ01929,2018-08-26,15:46:28,Lunch,NS,"[('Burger', 4), ('Steak', 5), ('Fries', 2), ('Salad', 6), ('Chicken', 3)]",572.2,-37.806830100000006,144.9378108,0,10.386,18.164526100000003
ORDK04328,2018-05-28,12:54:05,Lunch,BK,"[('Salad', 9), ('Chicken', 10), ('Burger', 6), ('Steak', 8)]",1020.8,-37.8083001,144.96612919999998,0,7.199,12.9577291
ORDI01257,2018-11-30,18:59:09,Dinner,NS,"[('Shrimp', 1), ('Fish&Chips', 9), ('Salmon', 7), ('Pasta', 7)]",848.5,-37.802854100000005,145.0036311,0,9.26,15.722307999999998
ORDB02690,2018-08-10,15:16:03,Lunch,TP,"[('Fries', 9), ('Salad', 2), ('Steak', 3)]",277.4,-37.8178396,144.9527211,0,10.248,13.1345603
ORDK05972,2018-02-14,09:21:07,Breakfast,BK,"[('Cereal', 9), ('Eggs', 3)]",255.0,-37.810570399999996,145.0006616,0,4.0760000000000005,8.7440235
ORDX03820,2018-05-12,12:13:31,Lunch,BK,"[('Fries', 9), ('Steak', 2)]",198.0,-37.800589200000005,144.93735569999998,0,11.362,19.758394
